Class;Accuracy;Precision;Recall;F1
90.0;0.9953917050691244;0.5;1.0;0.6666666666666666
71.0;0.9953917050691244;0.5;1.0;0.6666666666666666
94.0;0.9861751152073732;0.0;0.0;0.0
52.0;1.0;1.0;1.0;1.0
26.0;1.0;1.0;1.0;1.0
118.0;1.0;1.0;1.0;1.0
22.0;1.0;1.0;1.0;1.0
133.0;1.0;1.0;1.0;1.0
45.0;0.9953917050691244;0.5;1.0;0.6666666666666666
87.0;0.9907834101382489;0.5;0.5;0.5
110.0;1.0;1.0;1.0;1.0
152.0;1.0;1.0;1.0;1.0
68.0;0.9953917050691244;0.0;0.0;0.0
137.0;1.0;1.0;1.0;1.0
114.0;1.0;1.0;1.0;1.0
156.0;0.9953917050691244;0.5;1.0;0.6666666666666666
49.0;1.0;1.0;1.0;1.0
140.0;1.0;1.0;1.0;1.0
82.0;1.0;1.0;1.0;1.0
40.0;1.0;1.0;1.0;1.0
63.0;1.0;1.0;1.0;1.0
106.0;1.0;1.0;1.0;1.0
129.0;1.0;1.0;1.0;1.0
3.0;0.9953917050691244;1.0;0.5;0.6666666666666666
33.0;1.0;1.0;1.0;1.0
10.0;1.0;1.0;1.0;1.0
75.0;1.0;1.0;1.0;1.0
144.0;1.0;1.0;1.0;1.0
7.0;1.0;1.0;1.0;1.0
56.0;1.0;1.0;1.0;1.0
121.0;0.9861751152073732;1.0;0.25;0.4
98.0;1.0;1.0;1.0;1.0
102.0;1.0;1.0;1.0;1.0
125.0;1.0;1.0;1.0;1.0
79.0;1.0;1.0;1.0;1.0
148.0;1.0;1.0;1.0;1.0
37.0;1.0;1.0;1.0;1.0
74.0;1.0;1.0;1.0;1.0
93.0;0.9953917050691244;1.0;0.6666666666666666;0.8
51.0;1.0;1.0;1.0;1.0
119.0;0.9953917050691244;1.0;0.5;0.6666666666666666
138.0;1.0;1.0;1.0;1.0
25.0;1.0;1.0;1.0;1.0
67.0;1.0;1.0;1.0;1.0
86.0;1.0;1.0;1.0;1.0
111.0;1.0;1.0;1.0;1.0
130.0;1.0;1.0;1.0;1.0
153.0;1.0;1.0;1.0;1.0
44.0;1.0;1.0;1.0;1.0
115.0;0.9861751152073732;0.0;0.0;0.0
134.0;1.0;1.0;1.0;1.0
29.0;1.0;1.0;1.0;1.0
48.0;1.0;1.0;1.0;1.0
81.0;1.0;1.0;1.0;1.0
85.0;0.9907834101382489;0.5;0.5;0.5
62.0;1.0;1.0;1.0;1.0
149.0;1.0;1.0;1.0;1.0
36.0;1.0;1.0;1.0;1.0
107.0;1.0;1.0;1.0;1.0
13.0;1.0;1.0;1.0;1.0
32.0;1.0;1.0;1.0;1.0
6.0;1.0;1.0;1.0;1.0
78.0;1.0;1.0;1.0;1.0
97.0;1.0;1.0;1.0;1.0
122.0;1.0;1.0;1.0;1.0
141.0;0.9953917050691244;1.0;0.5;0.6666666666666666
55.0;1.0;1.0;1.0;1.0
145.0;1.0;1.0;1.0;1.0
59.0;1.0;1.0;1.0;1.0
103.0;1.0;1.0;1.0;1.0
17.0;0.9953917050691244;0.0;0.0;0.0
92.0;1.0;1.0;1.0;1.0
96.0;1.0;1.0;1.0;1.0
50.0;1.0;1.0;1.0;1.0
73.0;1.0;1.0;1.0;1.0
116.0;0.9953917050691244;1.0;0.5;0.6666666666666666
154.0;1.0;1.0;1.0;1.0
43.0;1.0;1.0;1.0;1.0
66.0;1.0;1.0;1.0;1.0
131.0;1.0;1.0;1.0;1.0
112.0;1.0;1.0;1.0;1.0
47.0;1.0;1.0;1.0;1.0
135.0;1.0;1.0;1.0;1.0
28.0;1.0;1.0;1.0;1.0
84.0;1.0;1.0;1.0;1.0
61.0;1.0;1.0;1.0;1.0
39.0;1.0;1.0;1.0;1.0
108.0;1.0;1.0;1.0;1.0
127.0;1.0;1.0;1.0;1.0
1.0;1.0;1.0;1.0;1.0
35.0;1.0;1.0;1.0;1.0
12.0;0.9953917050691244;1.0;0.5;0.6666666666666666
31.0;1.0;1.0;1.0;1.0
54.0;1.0;1.0;1.0;1.0
100.0;1.0;1.0;1.0;1.0
77.0;1.0;1.0;1.0;1.0
142.0;0.9907834101382489;1.0;0.3333333333333333;0.5
123.0;1.0;1.0;1.0;1.0
104.0;0.9953917050691244;1.0;0.5;0.6666666666666666
146.0;1.0;1.0;1.0;1.0
91.0;0.9953917050691244;1.0;0.6666666666666666;0.8
72.0;0.9953917050691244;1.0;0.5;0.6666666666666666
95.0;0.9953917050691244;0.5;1.0;0.6666666666666666
30.0;1.0;1.0;1.0;1.0
117.0;1.0;1.0;1.0;1.0
27.0;1.0;1.0;1.0;1.0
23.0;0.9953917050691244;0.6666666666666666;1.0;0.8
65.0;1.0;1.0;1.0;1.0
88.0;1.0;1.0;1.0;1.0
132.0;1.0;1.0;1.0;1.0
155.0;1.0;1.0;1.0;1.0
42.0;1.0;1.0;1.0;1.0
69.0;1.0;1.0;1.0;1.0
113.0;1.0;1.0;1.0;1.0
46.0;1.0;1.0;1.0;1.0
60.0;1.0;1.0;1.0;1.0
83.0;1.0;1.0;1.0;1.0
41.0;1.0;1.0;1.0;1.0
15.0;1.0;1.0;1.0;1.0
0.0;1.0;1.0;1.0;1.0
128.0;1.0;1.0;1.0;1.0
34.0;0.9953917050691244;0.0;0.0;0.0
109.0;1.0;1.0;1.0;1.0
11.0;1.0;1.0;1.0;1.0
4.0;1.0;1.0;1.0;1.0
76.0;1.0;1.0;1.0;1.0
99.0;1.0;1.0;1.0;1.0
120.0;1.0;1.0;1.0;1.0
53.0;1.0;1.0;1.0;1.0
